Wall time,Step,Value
1734300177.4887693,15007616,1138.9737548828125
1734300189.968771,15008510,1144.1441650390625
1734300216.485769,15010295,1153.140869140625
1734300233.331771,15011501,1152.05517578125
1734300237.4317708,15011801,1151.659423828125
1734300250.3357706,15012727,1146.4007568359375
1734300323.62077,15017906,1177.52880859375
1734300342.8857694,15019283,1178.051513671875
1734300346.7687688,15019564,1171.8988037109375
1734300352.6557693,15019984,1152.2403564453125
1734300410.19377,15024001,864.0573120117188
1734300411.437771,15024093,838.8311157226562
1734300419.9757693,15024708,751.0515747070312
1734300449.8717701,15026774,543.3263549804688
1734300451.9717708,15026925,544.6388549804688
1734300571.5697706,15035258,305.1746826171875
1734300582.5197706,15036044,327.8223571777344
1734300588.9417706,15036503,380.141845703125
1734300645.1267698,15040445,763.2981567382812
1734300655.0037708,15041160,766.5997314453125
1734300726.392771,15046236,1040.3109130859375
1734300728.547769,15046389,1051.2095947265625
1734300786.1597712,15050446,1185.10791015625
1734300822.448769,15053062,1249.7757568359375
1734300831.1677687,15053684,1255.010986328125
1734300849.2317703,15054956,1267.49267578125
1734300860.5927699,15055702,1262.0523681640625
1734300862.8767703,15055866,1262.0810546875
1734300875.7007701,15056789,1277.575927734375
1734300919.19177,15059906,1285.850341796875
1734300948.327769,15061930,1275.72265625
1734300961.0227702,15062846,1264.1578369140625
1734301015.2977705,15066661,1220.70654296875
1734301021.6557705,15067117,1215.7559814453125
1734301149.2077699,15075910,1204.3795166015625
1734301237.5677712,15082118,1250.921630859375
1734301243.7987707,15082569,1257.8892822265625
1734301245.814771,15082715,1257.4365234375
1734301250.0617692,15083021,1260.46240234375
1734301283.2737691,15085308,1280.965576171875
1734301301.262773,15086548,1284.8756103515625
1734301351.18277,15089965,1277.965087890625
1734301355.0047705,15090148,1276.63134765625
1734301394.95477,15092787,1227.59521484375
1734301452.9807713,15096754,1225.4364013671875
1734301497.23877,15099778,1232.5887451171875
1734301503.63077,15100160,1235.5621337890625
1734301543.186771,15102979,1222.938232421875
1734301545.0017705,15103110,1218.5919189453125
1734301614.5727715,15107318,1250.335205078125
1734301633.317769,15108518,1255.882568359375
1734301635.706771,15108666,1255.8912353515625
1734301672.1107705,15111042,1252.957275390625
1734301700.7787707,15112947,1250.7215576171875
1734301702.7427714,15113088,1250.9779052734375
1734301762.413771,15116919,1241.2821044921875
1734301810.9527693,15120228,1241.356201171875
1734301823.9917693,15121130,1245.5965576171875
1734301830.5077703,15121590,1245.4573974609375
1734301832.603769,15121736,1241.83935546875
1734301840.7377691,15122315,1242.602294921875
1734301851.066769,15123048,1243.7138671875
1734301861.7527697,15123807,1244.904296875
1734301968.57877,15131203,1253.310546875
1734301975.0247693,15131647,1254.7232666015625
1734301998.92777,15133309,1261.76611328125
1734302029.1987689,15135388,1232.0164794921875
1734302072.5117693,15138442,1244.3984375
1734302104.736769,15140624,1245.306396484375
1734302115.6787696,15141385,1251.659423828125
1734302206.047771,15147514,1225.0806884765625
1734302214.4637709,15148118,1224.7342529296875
1734302284.1827703,15152753,1280.4556884765625
1734302315.3357713,15154755,1283.204345703125
1734302357.3247716,15157431,1293.4608154296875
1734302379.3887718,15158824,1302.370361328125
1734302428.4767702,15161687,1334.5672607421875
1734302442.6627696,15162596,1335.81396484375
1734302462.0997722,15164000,1321.0709228515625
1734302558.8507724,15170769,1317.17041015625
1734302585.4497714,15172663,1306.8841552734375
1734302589.4747694,15172949,1305.525146484375
1734302604.4347713,15174016,1308.332763671875
1734302676.0337708,15179066,1304.481201171875
1734302684.76877,15179691,1312.7684326171875
1734302756.291771,15184714,1325.6617431640625
1734302770.104771,15185633,1305.6107177734375
1734302798.1387706,15187651,1321.1656494140625
1734302808.8527694,15188416,1320.4326171875
1734302822.0187688,15189361,1327.248779296875
1734302885.0097709,15193751,1335.9979248046875
1734302889.5187707,15194054,1341.6129150390625
